N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
153,영원무역,"33,500","2,200",+7.03%,500,"14,844","44,311",23.22,"463,273",9.06,9.82,
154,KODEX 삼성그룹,"9,200",160,+1.77%,0,"14,674","159,500",6.23,"423,568",N/A,N/A,
155,KODEX 종합채권(AA-이상)액티브,"110,180",40,-0.04%,0,"14,663","13,308",0.00,"5,860",N/A,N/A,
156,지누스,"101,500",500,+0.50%,500,"14,623","14,407",21.81,"144,670",20.48,26.32,
157,한국테크놀로지그룹,"15,700",150,+0.96%,500,"14,604","93,020",6.68,"248,237",13.11,4.71,
158,롯데정밀화학,"55,800",300,+0.54%,"5,000","14,396","25,800",23.15,"134,217",8.42,11.73,
159,NHN,"73,200",500,+0.69%,500,"14,322","19,565",11.19,"55,289",48.77,0.78,
160,한화에어로스페이스,"27,150",100,+0.37%,"5,000","13,746","50,630",16.68,"485,823",19.04,5.45,
161,한전KPS,"30,350",200,+0.66%,200,"13,658","45,000",12.49,"397,928",11.27,14.98,
162,메리츠금융지주,"10,100",50,+0.50%,500,"13,535","134,011",8.21,"646,666",2.91,15.26,
163,KODEX 200TR,"11,955",125,+1.06%,0,"13,485","112,800",20.50,"223,567",N/A,N/A,
164,현대위아,"49,300",250,+0.51%,"5,000","13,407","27,195",11.73,"141,485",10.65,1.80,
165,F&F,"85,500","1,900",+2.27%,500,"13,167","15,400",10.44,"54,627",15.11,25.13,
166,DGB금융지주,"7,640",380,+5.23%,"5,000","12,923","169,146",46.55,"1,647,671",3.90,7.31,
167,KODEX 코스닥150 레버리지,"15,560",265,+1.73%,0,"12,744","81,900",5.58,"25,580,613",N/A,N/A,
168,KG동부제철,"12,500",150,+1.21%,"5,000","12,501","100,009",0.18,"700,334",15.17,-7.44,
169,이노션,"62,500","1,500",+2.46%,500,"12,500","20,000",29.36,"82,454",19.46,9.88,
170,파미셀,"20,650",0,0.00%,500,"12,382","59,959",7.45,"1,100,317",179.57,8.78,
171,SK디스커버리,"64,600",300,-0.46%,"5,000","12,298","19,038",9.99,"74,305",4.24,11.52,
172,대한전선,"1,420",5,+0.35%,500,"12,162","856,473",2.00,"13,663,264",-78.89,-3.99,
173,SK네트웍스,"4,900",90,+1.87%,"2,500","12,161","248,188",12.14,"1,590,992",-21.21,-5.85,
174,일양약품,"63,400","4,500",+7.64%,"2,500","12,100","19,086",9.02,"4,585,212",117.19,5.20,
175,KODEX MSCI Korea TR,"12,050",100,+0.84%,0,"12,062","100,100",13.09,"659,519",N/A,N/A,
